A,B,result
Mechanical engineering,Monte Carlo method,0
Calculus of variations,Abstract data type,0
C++,Structured programming,1
3D computer graphics,Problem solving,1
Genetic algorithm,Algorithm,1
Scripting language,Computer programming,1
Computer,Bioinformatics,0
Linked list,Microcode,0
Scientific visualization,Computer programming,1
Regular expression,Hidden line removal,0
Mathematical optimization,Abstraction (computer science),1
Finite element method,Eigenvalues and eigenvectors,1
Calculus of variations,OSI model,0
Computation,Parallel computing,0
Data analysis,Conditional probability,0
Kernel (computing),Probability theory,0
Lisp (programming language),Generic programming,1
Kernel (computing),Bayesian,0
Higher-order function,Linked list,0
Time complexity,Mathematics,1
Speech recognition,Statistics,1
Lazy evaluation,Pushdown automata,0
Profiling (computer programming),Combinatorics,1
Java (programming language),Logic,1
Microcode,Divide and conquer algorithm,0
Internet,Computer network,1
Algorithm,Theoretical computer science,1
Interaction design,Statistics,0
Robotics,Combinatorics,1
Neural network,Firewall (computing),0
Algorithm,Logic,1
Divide and conquer algorithm,Abstraction (computer science),1
Computer multitasking,Distributed computing,0
Stochastic process,Automated theorem proving,0
HTML,Probability theory,0
Computational complexity theory,Foundations of mathematics,1
Graph coloring,Imperative programming,0
Finite-state machine,Scripting language,0
Finite difference,Parsing,0
Machine learning,Conditional probability,1
Undecidable problem,Computational complexity theory,1
Fast Fourier transform,Markov chain,0
Social network,Unsupervised learning,0
Web search engine,Abstraction (computer science),1
Semidefinite programming,Communications protocol,0
Image processing,Graph (mathematics),0
Ray tracing (graphics),Continuous function,0
User interface,Algorithm,1
Natural language processing,Congestion control,0
Problem solving,Graphical model,0
Nonlinear system,Spanning tree,0
Mathematical model,NP (complexity),0
Algorithm,Computability,1
B-tree,Transaction processing,0
Interactivity,Performance tuning,0
Python (programming language),Feature extraction,0
Finite-state machine,Computer,1
Probability theory,Mathematics,1
Interpolation,Algorithm,1
Compiler optimization,Decision theory,0
Introduction to Algorithms,Poisson distribution,0
Introduction to Algorithms,Thread (computer science),0
NP-complete,Transaction processing,0
Cache coherence,Distributed algorithms,0
Correlation and dependence,Synchronization,0
Application programming interface,Hidden line removal,0
Inheritance (object-oriented programming),Computability,1
Database design,Mathematics,0
Software development,Logic,1
Divide and conquer algorithm,Mathematical induction,1
Programming language,Logic,1
Interactivity,Expert system,0
Geometric modeling,Computer science,1
Syntax,Coding theory,0
Prolog,Computer programming,1
Machine learning,Arithmetic,1
Assembly language,Graph theory,1
B-tree,Foundations of mathematics,1
Database management system,ML (programming language),0
Quantum cryptography,Cryptography,1
Computer graphics,Thread (computer science),0
Scripting language,Nonlinear system,0
PSPACE,Theoretical computer science,1
Kalman filter,Reason,0
Quantum cryptography,Theory of computation,0
Uncertainty,Formal verification,0
MATLAB,Debugging,0
Software engineering,Data (computing),1
User interface,Logic,1
Parallel algorithm,Shared memory,1
Memory hierarchy,Computer science,1
Scalability,Inheritance (object-oriented programming),0
Signal processing,Estimation theory,0
Image processing,Computer,1
Program optimization,Problem solving,1
Shared memory,Bioinformatics,0
Web service,Signal processing,0
Software development,Abstract data type,1
Floating point,Finite difference,0
Debugging,Graph (mathematics),0
Graph theory,Data type,0
Computer graphics,Theoretical computer science,1
Computer graphics,Economics,0
Cryptography,Mathematical induction,1
Programming paradigm,Software development,0
First-order logic,Control flow,1
Combinatorics,Algebra,1
Query optimization,Computer science,1
Database design,PageRank,0
Scientific visualization,String searching algorithm,0
Semantics,Computational geometry,0
Theoretical computer science,Graphical user interface,0
Visualization (computer graphics),Communication,0
Shared memory,User interface,0
Randomness,Foundations of mathematics,1
Ray tracing (graphics),Input/output,0
Programming paradigm,Web search engine,0
Quantum computer,Fourier analysis,0
Amortized analysis,Kernel (computing),0
MapReduce,Theoretical computer science,0
Recurrence relation,Computer science,1
Design of experiments,Floating point,0
PSPACE,Algorithm,1
Neural network,Computing,1
Program optimization,Computing,1
Natural language processing,Machine learning,1
Web search engine,Theoretical computer science,1
Web server,Functional programming,0
Firewall (computing),Computer security,1
Database system,Operating system,1
Computer vision,Image processing,1
Relational database,Predicate logic,1
Data mining,Algorithm,1
Multiplication,Ordinary differential equation,0
Queue (data structure),Data structure,1
Digital electronics,Nonlinear system,0
JavaScript,Formal methods,0
"Best, worst and average case",Number theory,1
Information theory,Kinematics,0
B-tree,Computer software,0
Congestion control,Recursively enumerable set,0
Inequality (mathematics),Probability,0
Suffix tree,Fixed point (mathematics),0
Lexical analysis,Data structure,1
Programming language,"Best, worst and average case",0
Parallel algorithm,Computability,1
Rendering (computer graphics),Algorithm design,1
Java (programming language),Digital electronics,1
Computational chemistry,Mathematics,1
Document classification,Computational complexity theory,1
Coding theory,Bioinformatics,0
Inheritance (object-oriented programming),Computer,1
Fixed point (mathematics),Uncertainty,0
Calculus of variations,Bayesian,0
Parallel algorithm,Mathematics,1
Functional programming,Variable (computer science),1
Bioinformatics,Algorithm,1
Signal processing,Logic programming,0
Mathematical optimization,Integer,1
Support vector machine,Problem solving,1
Formal methods,Scripting language,0
Fixed point (mathematics),Foundations of mathematics,1
Spanning tree,Query optimization,0
Distributed computing,Theory of computation,1
Computational science,Cloud computing,0
Data,Cache coherence,0
Concurrency control,Algorithm design,1
Communications protocol,Polynomial,1
Logic programming,Iterative method,0
Object (computer science),Graph theory,1
Round-off error,Quantum computer,0
Traffic analysis,Random variable,0
Lexical semantics,User interface design,0
Computer animation,Concurrent computing,0
Deadlock,Queue (data structure),0
Complexity,Sequence alignment,0
Cryptanalysis,Discrete mathematics,1
Linked list,Feature extraction,0
Machine translation,Combinatorics,1
Concurrency control,Computer programming,1
Mathematical induction,3D computer graphics,0
Recursion (computer science),Discrete mathematics,1
Software engineering,MapReduce,0
Fast Fourier transform,Algorithm,1
Software design,Information security,0
Peer-to-peer,Bayesian network,0
Bioinformatics,Asymptotic analysis,1
MATLAB,System programming,0
Algebra,Spanning tree,0
Computer software,Boundary value problem,0
Computer animation,Dynamic programming,0
NP (complexity),Image processing,0
Cryptographic hash function,Mathematical proof,1
Computational complexity theory,Mobile device,0
Assembly language,Digital electronics,1
Public-key cryptography,Approximation algorithm,0
Martingale (probability theory),Markov chain,1
Programmer,MATLAB,0
Quantum computer,Discrete mathematics,1
Hash table,"Best, worst and average case",1
Vector processor,Recursively enumerable set,0
Recurrence relation,Foundations of mathematics,1
Scope (computer science),Variable (computer science),1
Database,PageRank,0
Formal language,Algorithm design,0
Design of experiments,Probability,1
Data type,Probability theory,0
Syntax,Communications protocol,0
Theoretical computer science,Graph theory,1
Time complexity,Algorithm,1
Public-key cryptography,Algebra,1
Digital signature,Theoretical computer science,1
Procedural programming,Computer science,1
Computer animation,Integral,0
Sparse matrix,Approximation,0
Bioinformatics,Integer,1
Compiler,Formal grammar,1
Cluster analysis,Graph theory,1
Computational science,Scheduling (computing),0
Malware,Data (computing),1
Computational complexity theory,Discrete mathematics,1
Computational learning theory,Index (database),0
Prolog,Automata theory,1
Analysis of algorithms,Logic programming,0
Graph (mathematics),Computer,0
Parsing,Finite-state machine,1
Autonomous robot,Analysis of algorithms,1
Computational chemistry,Computation,1
Differential equation,Logic programming,0
Linear algebra,Interaction design,0
Security,Natural language,0
Internet Protocol Suite,Control flow,0
Information theory,First-order logic,0
Haskell (programming language),Automata theory,1
Machine translation,Lisp (programming language),0
Database normalization,B-tree,0
Neural network,Logic,1
Computing,Ordinary differential equation,0
Kernel (computing),Interface (computing),0
Estimation theory,Haskell (programming language),0
Relational model,Functional programming,0
Conditional probability,Application programming interface,0
Assembly language,Computer,1
Queue (data structure),Parsing,0
Bayesian,Functional programming,0
Relational database,Operating system,1
Computability,Mutual exclusion,0
Matrix (mathematics),Ordinary differential equation,0
Distributed computing,Parametric polymorphism,0
Java (programming language),Data structure,1
Social network,Perl,0
GPU,Model checking,0
ML (programming language),Functional programming,1
P versus NP problem,Discrete mathematics,1
Knowledge representation and reasoning,Mathematics,1
Parsing,Image processing,0
Turing machine,Conditional probability,0
